Question,Answer
What is the SCoer! Faculty Grant?,"Now in its fourth year, the SCoer! Faculty Grant encourages the classroom use of Open Educational Resources (OER) – teaching, learning and research resources that are freely available to students. The grant is sponsored by the University of South Carolina Libraries.
To participate in the program, the winning faculty members will attend a one-hour workshop hosted by the University Libraries that will help them identify OER materials for their courses. They then will commit to switching from using a traditional textbook to an OER or library-licensed resource in one of their classes. Each winner receives a certificate and a $500 grant.
[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2018/scoer_2018.php)"
What are the requirements for the SCoer! Faculty Grant?,"# The SCoer! Faculty Grant
Requirements for the award:
- Attend a one-hour workshop.
- Replace a traditional textbook with an OER or library-licensed resource in one of your courses.
- Complete two brief follow-up surveys.
Winners receive a certificate and a $500 monetary award.
The next award deadline is May 2019.
[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2018/scoer_2018.php)"
How are SCoer! Grant recipients selected?,"The SCoer! Grant recipients are selected by Student Government representatives and members of the University Libraries’ Scholarly Communications Committee.
The selection committee looks closely at three determining factors: applicants who showed a strong desire to learn the process of finding and using online educational resources, the potential for long-term financial savings for students, and the availability of OER materials on the subject taught, said Amie Freeman, Assistant Interlibrary Loan Librarian at University Libraries and Chair of the Libraries’ Scholarly Communications Committee. These winners have shown great enthusiasm for using OER in their courses, and we congratulate them.
[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2018/scoer_2018.php)"
What kind of workshops does the library offer?,"## Workshops
University Libraries offers a variety of free workshops to support research and teaching at the university. Browse our full calendar of [library workshops](https://libcal.library.sc.edu/calendar/workshops) or explore the categories below. Select individual events for details and registration.

[#### Data Management Tools & Services
 Good data management improves research reproducibility, fosters innovation, and promotes compliance with funder requirements. Learn how to find, clean, preserve, share, and plan for the management of your research data.
](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68187&inc=0)

[#### Publishing & Digital Scholarship
 Understanding the basics of scholarly publishing will help you leverage your rights as an author to increase your impact. Identify innovative ways to create and share your work through digital tools and methods.
](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68188&inc=0)

[#### Text and Data Mining & Analysis
 With the rapidly increasing amounts of digital content available, it is possible to study your research data and texts through new and innovative methods. Learn the basic approaches to mining and analyzing your data sets and large bodies of texts.
](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68189&inc=0)

[#### Data Visualization Topics and Tools
 Visualizations (charts, graphs, plots, maps, etc.) have become an essential component in communicating data-intensive research and information. Learn about data visualization concepts, principles, and practices. Learn how to use software tools to create effective data visualizations.
](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68190&inc=0)

[#### AI (Artificial Intelligence) Knowledge, Tools, and Resources
 AI is everywhere these days. Learn AI terminology, how to create effective AI chatbot prompts and discover AI tools for various purposes.
](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68400&inc=0)

[#### Citation Management Tools
 A citation manager can change your research life by organizing references and doing the hard work when it comes to citing sources and creating a bibliography. Discover library support for learning EndNote, Mendeley and Zotero.
](https://libcal.library.sc.edu/calendar/workshops?ct=59986)

[#### Using Library Resources & Services
 Find out how to take advantage of all the library has to offer for your academic success. Whether you are new to using the library or looking for advanced research methods and resources, there is something for everyone.
](https://libcal.library.sc.edu/calendar/workshops?ct=59984)

[#### Classroom & Teaching Tools
 Incorporating library and open resources into your courses can promote student success and save students money. Explore pedagogical strategies to use both copyrighted materials and open content with confidence.
](https://libcal.library.sc.edu/calendar/workshops?ct=59985)

# Contact Us
Do you have a group interested in scheduling a workshop session? Or have an idea for additional workshop offerings?
Email us at [tclrefbi@mailbox.sc.edu](mailto:tclrefbi@mailbox.sc.edu).

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=5107061)"
How can I schedule a workshop session or suggest additional workshop offerings?,"# Contact Us
Do you have a group interested in scheduling a workshop session? Or have an idea for additional workshop offerings?
Email us at [tclrefbi@mailbox.sc.edu](mailto:tclrefbi@mailbox.sc.edu).
[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=5107061)"
What other services does the library offer for faculty and instructors?,"# Faculty and Instructor Services
Learn about other ways that [University Libraries offers support for your teaching and research](/about/offices_and_divisions/university_libraries/find_services/faculty_services/index.php).
Additional workshops and programs about teaching are offered through the [Center for Teaching Excellence](https://www.sc.edu/about/offices_and_divisions/cte/index.php).
[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=5107061)"
What happens if I make my OSF project public?,"You may choose to make your OSF project public. If you do, OSF's Preservation Fund preserves and maintains read access to any hosted data on OSF. This fund is sufficient for 50+ years of read access hosting at present costs.

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738117)"
Can I get a DOI for my project?,"## Get a DOI
OSF assigns DOIs for entire projects but not individual data sets within projects.

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738117)"
How is OSF free?,"## How Can OSF Be Free?
[Center for Open Science](http://cos.io/)[federal agencies, private foundations, and commercial entities](https://cos.io/about_sponsors/)[their finances](https://cos.io/about/our-finances/)

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738117)"
What criteria should I use to evaluate an OER?,"As the subject expert, you are the person most qualified to judge the quality of an OER. However, there are several criteria that may be helpful in evaluating OER.
Comprehensiveness
The text covers all areas and ideas of the subject appropriately and provides an effective index and/or glossary.
Content Accuracy
Content is accurate, error-free and unbiased.
Relevance/Longevity
Content is up-to-date, but not in a way that will quickly make the text obsolete within a short period of time. The text is written and/or arranged in such a way that necessary updates will be relatively easy and straightforward to implement.
Clarity
The text is written in lucid, accessible prose, and provides adequate context for any jargon/technical terminology used.
Consistency
The text is internally consistent in terms of terminology and framework.
Modularity
The text is easily and readily divisible into smaller reading sections that can be assigned at different points within the course (i.e., enormous blocks of text without subheadings should be avoided). The text should not be overly self-referential, and should be easily reorganized and realigned with various subunits of a course without presenting much disruption to the reader.
Organization/Structure/Flow
The topics in the text are presented in a logical, clear fashion.
Interface
The text is free of significant interface issues, including navigation problems, distortion of images/charts, and any other display features that may distract or confuse the reader.
Grammatical Errors
The text contains no grammatical errors.
Cultural Relevance
The text is not culturally insensitive or offensive in any way. It should make use of examples that are inclusive of a variety of races, ethnicities, and backgrounds.

This information is adapted from the [Open Textbook Library](https://open.umn.edu/opentextbooks/reviews/rubric) and was originally developed by [BC Campus](http://open.bccampus.ca/). It is shared under a [Creative Commons Attribution 3.0 Unported](http://creativecommons.org/licenses/by/3.0/) license.

[Learn more here](https://guides.library.sc.edu/OER/evaluate)"
What is open pedagogy?,"Open pedagogy is the practice of involving students in the creation of scholarship. It's a way to help students contribute to knowledge rather than simply consuming it. Considered a form of experiential learning, open pedagogy allows students to learn through practice and experiment with their own creativity and direction.

[Learn more here](https://guides.library.sc.edu/OER/pedagogy)"
How can students be involved in the creation of knowledge?,"There are many ways to involve students in the creation of knowledge. Some professors allow students to perform research and then [correct or contribute to a Wikipedia page](https://wikiedu.org/changing/students/). Others ask students to [create blogs or websites ](https://thechcexplored.wordpress.com/blog/)detailing their learning and experiences. Some simply ask students to learn about a topic and then create problems for other students to solve. There are professors who allow students to [annotate and discuss readings ](https://web.hypothes.is/education/)with each other and even those outside of the class visibly on the web. Other instructors facilitate open chats with students, authors, and experts through Twitter. Some students even produce [open, online textbooks](https://openeal.pressbooks.com/) that can be used by the larger education community.

[Learn more here](https://guides.library.sc.edu/OER/pedagogy)"
What resources are available for open pedagogy?,"- [A Guide to Making Open Textbooks with Students](https://press.rebus.community/makingopentextbookswithstudents/)
- [Google Sites](https://sites.google.com/)
- [Hypothesis](https://web.hypothes.is/education/)
- [Wiki Education](https://dashboard.wikiedu.org/)
- [WordPress](https://wordpress.org/)

[Learn more here](https://guides.library.sc.edu/OER/pedagogy)"
What are Open Case Studies and how can I use them?,"## Open Case Studies
Open Case Studies can be valuable supplemental resources for your course content. Most Creative Commons licensed case studies can be incorporated directly into other OER for seamless reading.
[Learn more here](https://guides.library.sc.edu/OER/casestudies)"
Where can I find open and freely available case studies?,"## Open and Freely Available Case Studies
- [LearningEdge Case Studies](https://mitsloan.mit.edu/LearningEdge/Pages/Case-Studies.aspx)
- [Open Case Studies at UBC](https://cases.open.ubc.ca/case-studies/)
- [Oikos Free Case Collection](https://oikos-international.org/programmes/cases-program/)
- [Arthur Andersen Case Studies in Business Ethics](https://johnhooker.tepper.cmu.edu/ethics/aa/arthurandersen.htm)
[Learn more here](https://guides.library.sc.edu/OER/casestudies)"
Are there open access journals featuring case studies?,"## Open Access Journals Featuring Case Studies
There are a number of open access journals featuring case studies across many disciplines. This list is not exhaustive. You may be able to locate additional case studies within OA journals by searching the [Directory of Open Access Journals](https://www.doaj.org/).
- [Case Studies in Engineering Failure Analysis](https://www.sciencedirect.com/journal/case-studies-in-engineering-failure-analysis)
- [Journal of Business Cases and Applications](https://www.aabri.com/jbca.html)
- [Journal of Information Systems Education](https://jise.org/)
- [Mathematics-in-Industry Case Studies](https://micsjournal.springeropen.com/)
- [Case Studies in Construction Materials](https://www.journals.elsevier.com/case-studies-in-construction-materials)
[Learn more here](https://guides.library.sc.edu/OER/casestudies)"
